model,province,accuracy,cultural_relevance,language_accessibility,bias_avoidance,total_score,sex,age_group
deepseek-r1:8b,BC,2.0,1.0,1.75,1.75,6.5,,
deepseek-r1:8b,SK,2.444,2.111,1.444,1.222,7.222,,
llama3.2:latest,BC,2.0,2.0,3.0,2.0,9.0,,
llama3.2:latest,SK,2.0,2.0,3.0,2.0,9.0,,
mistral:7b,BC,2.0,2.0,3.0,2.0,9.0,,
mistral:7b,SK,2.0,2.0,3.0,2.0,9.0,,
deepseek-r1:8b,,2.222,1.333,1.556,1.556,6.667,Female,
deepseek-r1:8b,,2.5,2.75,1.5,1.0,7.75,Male,
llama3.2:latest,,2.0,2.0,3.0,2.0,9.0,Female,
llama3.2:latest,,2.0,2.0,3.0,2.0,9.0,Male,
mistral:7b,,2.0,2.0,3.0,2.0,9.0,Female,
mistral:7b,,2.0,2.0,3.0,2.0,9.0,Male,
deepseek-r1:8b,,2.4,1.6,1.4,1.4,6.8,,25–34
deepseek-r1:8b,,2.25,1.875,1.625,1.375,7.125,,50–64
llama3.2:latest,,2.0,2.0,3.0,2.0,9.0,,25–34
llama3.2:latest,,2.0,2.0,3.0,2.0,9.0,,50–64
mistral:7b,,2.0,2.0,3.0,2.0,9.0,,25–34
mistral:7b,,2.0,2.0,3.0,2.0,9.0,,50–64
